               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04685,            0.012924,                   0,             0.58057,             0.47597,             0.47292,             0.19647,            0.039795,           0.0068272,                   0,            0.070088,           0.0033236,           0.0033236
                   1,            0.037715,            0.011151,                   0,             0.53175,             0.46453,              0.4146,             0.15666,             0.03973,            0.011354,                   0,            0.039758,           0.0063274,           0.0063274
                   2,            0.034609,            0.010702,                   0,             0.61079,             0.57208,             0.55179,             0.20842,            0.042995,            0.008548,                   0,           0.0090987,           0.0090012,           0.0090012
                   3,            0.031828,            0.010211,                   0,             0.53865,             0.58124,             0.53921,             0.24037,            0.034248,           0.0048403,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.030158,           0.0098412,                   0,             0.53274,             0.54005,             0.51989,             0.20779,            0.032645,           0.0052322,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.028507,           0.0094986,                   0,             0.66598,             0.58352,             0.61458,             0.27873,            0.033306,           0.0043769,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.028271,           0.0092986,                   0,             0.33685,             0.28375,             0.15297,            0.060278,             0.04492,           0.0064466,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.026722,           0.0091376,                   0,             0.64063,             0.57895,             0.59889,             0.25237,            0.034137,           0.0056429,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.026034,           0.0088176,                   0,             0.59716,             0.47829,             0.49621,             0.23446,            0.035005,           0.0056511,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.024892,           0.0086294,                   0,              0.6898,             0.63844,             0.68169,             0.35191,            0.030836,           0.0043263,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.024767,           0.0085836,                   0,             0.69566,             0.63387,             0.67236,             0.31632,            0.033614,           0.0044245,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.023566,             0.00828,                   0,             0.71061,             0.69675,             0.72943,             0.37137,            0.029974,           0.0043149,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.023277,           0.0081945,                   0,             0.72104,             0.69794,             0.74251,             0.37766,            0.029066,           0.0047135,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.022688,           0.0081174,                   0,             0.75673,             0.64776,             0.70706,             0.35713,            0.026934,           0.0058784,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.021715,           0.0079342,                   0,              0.7468,             0.70866,              0.7313,             0.39908,            0.030175,           0.0041992,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.020966,           0.0076412,                   0,             0.79843,             0.75235,             0.79398,              0.4185,            0.028033,           0.0039891,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.020265,           0.0073637,                   0,             0.76027,             0.74023,              0.7932,             0.42721,            0.024877,           0.0039916,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.019299,           0.0070792,                   0,             0.80623,             0.78073,             0.85259,             0.49014,            0.023292,           0.0037282,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.018664,           0.0070366,                   0,             0.74721,             0.68879,             0.72139,             0.40087,            0.027799,           0.0039475,                   0,            0.001585,            0.001585,            0.001585
                  19,             0.01752,           0.0065867,                   0,             0.75244,             0.73913,             0.79648,             0.44927,             0.02597,           0.0042319,                   0,             0.00109,             0.00109,             0.00109
